word,value,year
mouth,0,1996
offering,10,1996
old,6,1996
people,55,1996
pharaoh,0,1996
praise,2,1996
priest,14,1996
prophet,1,1996
reign,0,1996
sacrifice,3,1996
said,128,1996
saw,19,1996
say,10,1996
says,2,1996
seen,8,1996
sent,25,1996
servant,11,1996
sin,0,1996
solomon,0,1996
son,59,1996
sovereign,2,1996
speak,1,1996
spirit,8,1996
taken,7,1996
tell,11,1996
thing,10,1996
tribe,15,1996
wa,98,1996
went,84,1996
wife,27,1996
word,7,1996
year,8,1996
aaron,0,1997
almighty,2,1997
altar,0,1997
babylon,0,1997
burnt,0,1997
came,6,1997
christ,0,1997
city,0,1997
come,6,1997
commanded,0,1997
daughter,8,1997
daughters,3,1997
david,2,1997
day,4,1997
declares,0,1997
descendant,0,1997
doe,0,1997
father,12,1997
given,2,1997
goat,0,1997
god,3,1997
grain,4,1997
ha,13,1997
hand,1,1997
hear,0,1997
heart,0,1997
israel,5,1997
jeremiah,0,1997
jerusalem,0,1997
jesus,0,1997
judah,4,1997
king,0,1997
kingdom,0,1997
know,4,1997
lamb,0,1997
land,4,1997
let,5,1997
life,3,1997
like,2,1997
lord,18,1997
love,1,1997
male,0,1997
man,7,1997
men,5,1997
month,0,1997
moses,0,1997
mother,1,1997
mouth,0,1997
offering,0,1997
old,2,1997
people,8,1997
pharaoh,0,1997
praise,1,1997
priest,0,1997
prophet,0,1997
reign,0,1997
sacrifice,0,1997
said,30,1997
saw,1,1997
say,1,1997
says,0,1997
seen,0,1997
sent,0,1997
servant,5,1997
sin,0,1997
solomon,0,1997
son,4,1997
sovereign,0,1997
speak,0,1997
spirit,0,1997
taken,0,1997
tell,2,1997
thing,0,1997
tribe,0,1997
wa,14,1997
went,12,1997
wife,3,1997
word,0,1997
year,0,1997
aaron,2,1998
almighty,5,1998
altar,4,1998
babylon,0,1998
burnt,9,1998
came,52,1998
christ,0,1998
city,6,1998
come,69,1998
commanded,0,1998
daughter,11,1998
daughters,3,1998
david,249,1998
day,79,1998
declares,2,1998
descendant,4,1998
doe,8,1998
father,30,1998
given,11,1998
goat,2,1998
god,94,1998
grain,3,1998
ha,103,1998
hand,72,1998
hear,7,1998
heart,19,1998
israel,118,1998
jeremiah,0,1998
jerusalem,1,1998
jesus,0,1998
judah,14,1998
king,80,1998
kingdom,8,1998
know,21,1998
lamb,1,1998
land,16,1998
let,43,1998
life,23,1998
like,23,1998
lord,300,1998
love,2,1998
male,2,1998
man,69,1998
men,129,1998
month,2,1998
moses,2,1998
mother,4,1998
mouth,6,1998
offering,21,1998
old,15,1998
people,61,1998
pharaoh,2,1998
praise,2,1998
priest,28,1998
prophet,7,1998
reign,4,1998
sacrifice,22,1998
said,229,1998
saw,28,1998
say,23,1998
says,4,1998
seen,3,1998
sent,38,1998
servant,57,1998
sin,10,1998
solomon,0,1998
son,99,1998
sovereign,0,1998
speak,7,1998
spirit,19,1998
taken,11,1998
tell,27,1998
thing,11,1998
tribe,8,1998
wa,201,1998
went,91,1998
wife,14,1998
word,20,1998
year,12,1998
aaron,0,1999
almighty,6,1999
altar,3,1999
babylon,0,1999
burnt,5,1999
came,56,1999
christ,0,1999
city,35,1999
come,46,1999
commanded,6,1999
daughter,20,1999
daughters,1,1999
david,234,1999
day,41,1999
declares,1,1999
descendant,7,1999
doe,4,1999
father,14,1999
given,7,1999
goat,0,1999
god,57,1999
grain,3,1999
ha,48,1999
hand,45,1999
hear,10,1999
heart,11,1999
israel,99,1999
jeremiah,0,1999
jerusalem,29,1999
jesus,0,1999
judah,29,1999
king,245,1999
kingdom,9,1999
know,15,1999
lamb,3,1999
land,12,1999
let,31,1999
life,11,1999
like,26,1999
lord,182,1999
love,7,1999
male,1,1999
man,55,1999
men,139,1999
month,2,1999
moses,0,1999
mother,3,1999
mouth,4,1999
offering,8,1999
old,5,1999
people,51,1999
pharaoh,0,1999
praise,5,1999
priest,3,1999
prophet,3,1999
reign,1,1999
sacrifice,2,1999
said,164,1999
saw,20,1999
say,27,1999
says,9,1999
seen,2,1999
sent,40,1999
servant,72,1999
sin,2,1999
solomon,2,1999
son,157,1999
sovereign,7,1999
speak,8,1999
spirit,3,1999
taken,12,1999
tell,15,1999
thing,13,1999
tribe,7,1999
wa,152,1999
went,75,1999
wife,16,1999
word,25,1999
year,11,1999
aaron,0,2000
almighty,3,2000
altar,31,2000
babylon,0,2000
burnt,6,2000
came,51,2000
christ,0,2000
city,41,2000
come,30,2000
commanded,5,2000
daughter,10,2000
daughters,0,2000
david,72,2000
day,39,2000
declares,0,2000
descendant,5,2000
doe,3,2000
father,72,2000
given,17,2000
goat,0,2000
god,106,2000
grain,2,2000
ha,51,2000
hand,20,2000
hear,17,2000
heart,30,2000
israel,168,2000
jeremiah,0,2000
jerusalem,29,2000
jesus,0,2000
judah,38,2000
king,299,2000
kingdom,17,2000
know,20,2000
lamb,0,2000
land,31,2000
let,23,2000
life,19,2000
like,21,2000
lord,271,2000
love,4,2000
male,6,2000
man,52,2000
men,33,2000
month,15,2000
moses,4,2000
mother,13,2000
mouth,7,2000
offering,11,2000
old,9,2000
people,75,2000
pharaoh,6,2000
praise,5,2000
priest,27,2000
prophet,53,2000
reign,17,2000
sacrifice,12,2000
said,137,2000
saw,16,2000
say,18,2000
says,23,2000
seen,3,2000
sent,28,2000
servant,46,2000
sin,21,2000
solomon,129,2000
son,131,2000
sovereign,2,2000
speak,4,2000
spirit,5,2000
taken,4,2000
tell,14,2000
thing,12,2000
tribe,11,2000
wa,185,2000
went,66,2000
wife,18,2000
word,42,2000
year,36,2000
aaron,0,2001
almighty,2,2001
altar,27,2001
babylon,28,2001
burnt,8,2001
came,45,2001
christ,0,2001
city,52,2001
come,37,2001
commanded,8,2001
daughter,16,2001
daughters,0,2001
david,19,2001
day,37,2001
declares,4,2001
descendant,5,2001
doe,2,2001
father,50,2001
given,7,2001
goat,0,2001
god,98,2001
grain,7,2001
ha,43,2001
hand,30,2001
hear,6,2001
heart,5,2001
israel,141,2001
jeremiah,2,2001
jerusalem,62,2001
jesus,0,2001
judah,95,2001
king,390,2001
kingdom,5,2001
know,16,2001
lamb,1,2001
land,47,2001
let,14,2001
life,18,2001
like,17,2001
lord,272,2001
love,0,2001
male,2,2001
man,61,2001
men,57,2001
month,6,2001
moses,6,2001
mother,9,2001
mouth,3,2001
offering,19,2001
old,19,2001
people,72,2001
pharaoh,6,2001
