aaron,almighty,altar,babylon,burnt,came,christ,city,come,commanded,daughter,daughters,david,day,declares,descendant,doe,father,given,goat,god,grain,ha,hand,hear,heart,israel,jeremiah,jerusalem,jesus,judah,king,kingdom,know,lamb,land,let,life,like,lord,love,male,man,men,month,moses,mother,mouth,offering,old,people,pharaoh,praise,priest,prophet,reign,sacrifice,said,saw,say,says,seen,sent,servant,sin,solomon,son,sovereign,speak,spirit,taken,tell,thing,tribe,wa,went,wife,word,year,timeOfBook
0,1,0,0,0,5,43,2,15,0,0,1,0,8,0,0,2,5,7,0,70,0,26,1,0,13,0,0,0,18,0,1,0,15,0,0,5,8,5,29,13,0,4,8,0,3,0,0,1,2,7,0,2,0,0,0,0,7,0,8,1,3,3,5,6,0,2,0,3,16,2,2,8,0,32,2,0,2,3,book47
0,0,0,0,0,3,38,1,6,0,0,0,0,1,1,0,10,5,6,0,30,0,10,2,0,0,1,0,5,17,0,0,1,5,0,0,11,6,8,4,4,1,10,6,1,0,1,0,0,0,4,0,0,0,0,0,0,2,3,4,1,0,2,1,4,0,14,0,0,18,1,2,7,0,28,5,0,1,2,book48
0,0,0,0,0,1,49,0,5,0,0,0,0,3,0,0,3,10,8,0,31,0,8,2,0,5,2,0,0,20,0,0,2,8,0,0,3,6,4,22,19,0,3,5,0,0,1,1,1,1,4,0,4,0,0,0,1,1,0,0,1,0,0,2,1,0,2,0,2,12,0,2,4,0,7,0,7,4,0,book49
0,0,0,0,0,0,36,0,5,0,0,0,0,6,0,0,1,4,1,0,24,0,9,0,2,2,1,0,0,22,0,0,0,10,0,0,2,3,6,15,5,0,2,2,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,2,0,1,3,2,0,0,1,0,1,6,1,0,4,1,6,0,0,2,0,book50
0,0,0,0,0,0,27,0,3,0,0,0,0,3,0,0,2,4,1,0,23,0,11,3,0,5,0,0,0,7,0,0,3,6,0,0,5,5,0,13,6,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,0,0,2,1,4,10,0,3,0,1,4,0,book51
0,0,0,0,0,1,10,0,8,0,0,0,0,6,0,0,3,5,1,0,33,0,6,0,0,1,0,0,0,15,0,0,1,11,0,0,3,5,6,22,8,0,1,7,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,3,0,1,4,0,3,1,0,2,0,0,4,0,book52
0,0,0,0,0,0,9,0,4,0,0,0,0,4,0,0,2,3,0,0,14,0,3,1,1,2,0,0,0,13,0,0,1,3,0,0,1,0,0,22,3,0,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,2,0,book53
0,0,0,0,0,1,15,0,6,0,0,0,0,1,0,0,3,3,4,0,21,1,9,2,0,2,0,0,0,14,0,4,0,6,0,0,3,12,0,6,6,0,5,10,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,1,2,0,0,4,0,2,0,0,3,1,0,4,0,15,1,3,2,0,book54
0,0,0,0,0,1,13,0,5,0,0,0,1,3,0,0,2,1,1,0,12,0,12,0,2,1,0,0,0,13,0,0,2,7,0,0,0,6,4,15,5,0,2,5,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3,0,0,1,1,1,0,2,0,0,4,2,0,2,0,6,0,0,3,0,book55
0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,1,0,11,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,1,3,0,0,5,0,2,4,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,5,0,2,0,1,2,0,book56
