topic,value,year
topic17,2,1029
topic18,5,1029
topic19,10,1029
topic0,0,1030
topic1,0,1030
topic2,1,1030
topic3,0,1030
topic4,0,1030
topic5,0,1030
topic6,0,1030
topic7,0,1030
topic8,0,1030
topic9,1,1030
topic10,0,1030
topic11,0,1030
topic12,0,1030
topic13,1,1030
topic14,0,1030
topic15,0,1030
topic16,0,1030
topic17,0,1030
topic18,0,1030
topic19,0,1030
topic0,0,1031
topic1,0,1031
topic2,4,1031
topic3,0,1031
topic4,0,1031
topic5,0,1031
topic6,0,1031
topic7,2,1031
topic8,2,1031
topic9,4,1031
topic10,0,1031
topic11,0,1031
topic12,4,1031
topic13,4,1031
topic14,0,1031
topic15,0,1031
topic16,3,1031
topic17,0,1031
topic18,2,1031
topic19,2,1031
topic0,1,1032
topic1,9,1032
topic2,3,1032
topic3,0,1032
topic4,1,1032
topic5,1,1032
topic6,1,1032
topic7,4,1032
topic8,0,1032
topic9,1,1032
topic10,0,1032
topic11,0,1032
topic12,2,1032
topic13,2,1032
topic14,0,1032
topic15,0,1032
topic16,0,1032
topic17,0,1032
topic18,2,1032
topic19,4,1032
topic0,0,1033
topic1,0,1033
topic2,0,1033
topic3,1,1033
topic4,0,1033
topic5,0,1033
topic6,0,1033
topic7,1,1033
topic8,0,1033
topic9,0,1033
topic10,1,1033
topic11,0,1033
topic12,0,1033
topic13,0,1033
topic14,0,1033
topic15,0,1033
topic16,1,1033
topic17,0,1033
topic18,0,1033
topic19,0,1033
topic0,0,1034
topic1,0,1034
topic2,1,1034
topic3,0,1034
topic4,0,1034
topic5,0,1034
topic6,0,1034
topic7,1,1034
topic8,0,1034
topic9,0,1034
topic10,0,1034
topic11,0,1034
topic12,0,1034
topic13,0,1034
topic14,0,1034
topic15,0,1034
topic16,0,1034
topic17,0,1034
topic18,0,1034
topic19,0,1034
topic0,0,1035
topic1,1,1035
topic2,5,1035
topic3,0,1035
topic4,0,1035
topic5,0,1035
topic6,0,1035
topic7,1,1035
topic8,3,1035
topic9,7,1035
topic10,0,1035
topic11,0,1035
topic12,4,1035
topic13,8,1035
topic14,0,1035
topic15,0,1035
topic16,0,1035
topic17,0,1035
topic18,0,1035
topic19,3,1035
topic0,1,1036
topic1,0,1036
topic2,5,1036
topic3,0,1036
topic4,0,1036
topic5,0,1036
topic6,0,1036
topic7,1,1036
topic8,2,1036
topic9,5,1036
topic10,1,1036
topic11,0,1036
topic12,1,1036
topic13,10,1036
topic14,0,1036
topic15,0,1036
topic16,0,1036
topic17,0,1036
topic18,0,1036
topic19,2,1036
topic0,1,1037
topic1,7,1037
topic2,16,1037
topic3,0,1037
topic4,0,1037
topic5,0,1037
topic6,1,1037
topic7,5,1037
topic8,4,1037
topic9,15,1037
topic10,4,1037
topic11,2,1037
topic12,6,1037
topic13,23,1037
topic14,0,1037
topic15,1,1037
topic16,2,1037
topic17,1,1037
topic18,4,1037
topic19,6,1037
topic0,0,1038
topic1,2,1038
topic2,3,1038
topic3,0,1038
topic4,1,1038
topic5,0,1038
topic6,0,1038
topic7,3,1038
topic8,0,1038
topic9,2,1038
topic10,0,1038
topic11,1,1038
topic12,2,1038
topic13,15,1038
topic14,0,1038
topic15,1,1038
topic16,3,1038
topic17,0,1038
topic18,3,1038
topic19,2,1038
topic0,9,1039
topic1,19,1039
topic2,21,1039
topic3,13,1039
topic4,4,1039
topic5,17,1039
topic6,6,1039
topic7,20,1039
topic8,22,1039
topic9,19,1039
topic10,15,1039
topic11,2,1039
topic12,12,1039
topic13,5,1039
topic14,3,1039
topic15,0,1039
topic16,21,1039
topic17,10,1039
topic18,9,1039
topic19,25,1039
topic0,0,1040
topic1,4,1040
topic2,15,1040
topic3,8,1040
topic4,4,1040
topic5,11,1040
topic6,1,1040
topic7,13,1040
topic8,13,1040
topic9,12,1040
topic10,9,1040
topic11,5,1040
topic12,2,1040
topic13,4,1040
topic14,3,1040
topic15,0,1040
topic16,11,1040
topic17,4,1040
topic18,2,1040
topic19,6,1040
topic0,4,1041
topic1,24,1041
topic2,43,1041
topic3,12,1041
topic4,4,1041
topic5,17,1041
topic6,8,1041
topic7,39,1041
topic8,18,1041
topic9,21,1041
topic10,14,1041
topic11,3,1041
topic12,9,1041
topic13,13,1041
topic14,3,1041
topic15,3,1041
topic16,26,1041
topic17,5,1041
topic18,17,1041
topic19,19,1041
topic0,10,1042
topic1,12,1042
topic2,36,1042
topic3,14,1042
topic4,7,1042
topic5,19,1042
topic6,4,1042
